分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 8, IPv4: 53, IPv6: 0, 最小延迟: 54 ms, 最高速率: 59.14 M/s, 平均速率: 6.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 青海卫视, 有效: 9, IPv4: 44, IPv6: 0, 最小延迟: 40 ms, 最高速率: 15.69 M/s, 平均速率: 8.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山东卫视, 有效: 9, IPv4: 39, IPv6: 0, 最小延迟: 34 ms, 最高速率: 18.88 M/s, 平均速率: 11.73 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 10, IPv4: 48, IPv6: 0, 最小延迟: 33 ms, 最高速率: 18.94 M/s, 平均速率: 9.31 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 山西卫视, 有效: 7, IPv4: 39, IPv6: 0, 最小延迟: 37 ms, 最高速率: 17.53 M/s, 平均速率: 10.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 四川卫视, 有效: 10, IPv4: 60, IPv6: 0, 最小延迟: 37 ms, 最高速率: 20.61 M/s, 平均速率: 11.09 M/s, 最高分辨率: 3840x2160, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 10, IPv4: 41, IPv6: 0, 最小延迟: 31 ms, 最高速率: 18.59 M/s, 平均速率: 7.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 8, IPv4: 27, IPv6: 0, 最小延迟: 49 ms, 最高速率: 14.11 M/s, 平均速率: 7.29 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 天津卫视, 有效: 10, IPv4: 39, IPv6: 0, 最小延迟: 34 ms, 最高速率: 18.49 M/s, 平均速率: 9.61 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 7, IPv4: 37, IPv6: 0, 最小延迟: 108 ms, 最高速率: 7.45 M/s, 平均速率: 5.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 云南卫视, 有效: 10, IPv4: 44, IPv6: 0, 最小延迟: 33 ms, 最高速率: 19.19 M/s, 平均速率: 8.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
